Twitter,Name,Riding
@pmharper,Stephen Harper,Dufferin—Caledon
@justinpjtrudeau,Justin Trudeau,Papineau
@DenisCoderre,Denis Coderre,Bourassa
@TonyclementCPC,Tony Clement,Parry Sound—Muskok
@bobraeMP,Bob Rae,Toronto Centre
@oliviachow,Olivia Chow,Trinity—Spadina
@kenneyjason,Jason Kenney,Calgary Southeast
@JamesMoore_org,James Moore,Port Moody—Westwoo
@PaulDewar,Paul Dewar,Ottawa Centre
@alexboulerice,Alexandre Boulerice,Rosemont—La Petite
@PatMartinMP,Pat Martin,Winnipeg Centre
@LibbyDavies,Libby Davies,Vancouver East
@MeganLeslieMP,Megan Leslie,Halifax
@Carolyn_Bennett,Carolyn Bennett,St. Paul's
@rodbruinooge,Rod Bruinooge,Winnipeg South
@scottbrison,Scott Brison,Kings—Hants
@HedyFry,Hedy Fry,Vancouver Centre
@RalphGoodale,Ralph Goodale,Wascana
@JohnBairdOWN,John Baird,Ottawa West—Nepean
@stevenjfletcher,Steven Fletcher,Charleswood—St. James—Assiniboia
@LindaDuncanMP,Linda Duncan,Edmonton—Strathcon
@DianeAblonczy,Diane Ablonczy,Calgary—Nose Hill
@MarcGarneau,Marc Garneau,Westmount—Ville-Ma
@denisesavoie,Denise Savoie,Victoria
@MPJulian,Peter Julian,Burnaby—New Westmi
@CharlieAngusMP,Charlie Angus,Timmins—James Bay
@DonDavies,Don Davies,Vancouver Kingsway
@brownbarrie,Patrick Brown,Barrie
@nathancullen,Nathan Cullen,Skeena—Bulkley Val
@lraitt,Lisa Raitt,Halton
@MPLaurieHawn,Laurie Hawn,Edmonton Centre
@nikiashton,Niki Ashton,Churchill
@cherylgallant,Cheryl Gallant,Renfrew—Nipissing
@joycemurray,Joyce Murray,Vancouver Quadra
@BlakeRichardsMP,Blake Richards,Wild Rose
@maximebernier,Maxime Bernier,Beauce
@MacKayCPC,Peter MacKay,Central Nova
@MikeLakeMP,Mike Lake,Edmonton—Mill Wood
@leonaaglukkaq,Leona Aglukkaq,Nunavut
@RickDykstra,Rick Dykstra,St. Catharines
@WayneEaster,Wayne Easter,Malpeque
@JulianFantino,Julian Fantino,Vaughan
@jamesbezan,James Bezan,Selkirk—Interlake
@chriswarkentin,Chris Warkentin,Peace River
@GlennThibeault,Glenn Thibeault,Sudbury
@FinDonnelly,Fin Donnelly,New Westminster—Co
@Cash4TO,Andrew Cash,Davenport
@peterbraid,Peter Braid,Kitchener—Waterloo
@BrianMasseMP,Brian Masse,Windsor West
@RathikaS,Rathika Sitsabaiesan,Scarborough—Rouge
@ChrisCharltonMP,Chris Charlton,Hamilton Mountain
@MPLoisBrown,Lois Brown,Newmarket—Aurora
@JohnRaffertyMP,John Rafferty,Thunder Bay—Rainy
@ThomasMulcair,Thomas Mulcair,Outremont
@geoffregan,Geoff Regan,Halifax West
@andrewscheer,Andrew Scheer,Regina—Qu'Appelle
@RomeoSaganash,Romeo Saganash,Abitibi—Baie
@irenemathyssen,Irene Mathyssen,London—Fanshawe
@brentrathgeber,Brent Rathgeber,Edmonton—St. Alber
@KellyBlockcpc,Kelly Block,Saskatoon—Rosetown
@PLDusseault,Pierre-Luc Dusseault,Sherbrooke
@GalipeauOrleans,Royal Galipeau,Ottawa—Orléans
@PaulCalandra,Paul Calandra,Oak Ridges—Markham
@darylkramp,Daryl Kramp,Prince Edward—Hast
@ClearyNDP,Ryan Cleary,St. John's South—M
@RobertNDP,Robert Chisholm,Dartmouth—Cole Har
@ScottAndrewsMP,Scott Andrews,Avalon
@tedhsu,Ted Hsu,Kingston and the Isl
@MichelleRempel,Michelle Rempel,Calgary Centre-North
@FBoivinNPD,Françoise Boivin,Gatineau
@JackHarrisNDP,Jack Harris,St. John's East
@MikeWallaceMP,Mike Wallace,Burlington
@mpdeandelmastro,Dean Del Mastro,Peterborough
@kennedystewart,Kennedy Stewart,Burnaby—Douglas
@WoodworthMP,Stephen Woodworth,Kitchener Centre
@sanouchka,Sana Hassainia,Verchères—Les Pat
@mpPeterKent,Peter Kent,Thornhill
@Scott_Simms,Scott Simms,Bonavista—Gander
@joecomartin,Joe Comartin,Windsor—Tecumseh
@calxandr,Chris Alexander,Ajax—Pickering
@hoangmai_npd,Hoang Mai,Brossard—La Prairie
@Cathy_McLeod,Cathy McLeod,Kamloops—Thompson
@EdHolder_MP,Ed Holder,London West
@MPmarkwarawa,Mark Warawa,Langley
@RodgerCuzner,Rodger Cuzner,Cape Breton—Canso
@joeoliver1,Joe Oliver,Eglinton—Lawrence
@ColinCarrie,Colin Carrie,Oshawa
@christianparad,Christian Paradis,Mégantic—L'Érabl
@TimUppal_MP,Tim Uppal,Edmonton—Sherwood
@PeterPenashue,Peter Penashue,Labrador
@ParmGill,Parm Gill,Brampton—Springdal
@DavidMcGuinty,David McGuinty,Ottawa South
@Malcolm_AllenMP,Malcolm Allen,Welland
@KirstyDuncanMP,Kirsty Duncan,Etobicoke North
@JohnMcCallumMP,John McCallum,Markham—Unionville
@fortjf,Jean-François Fortin,Haute-Gaspésie—La
@JeanCrowder,Jean Crowder,Nanaimo—Cowichan
@RobMoore_CPC,Rob Moore,Fundy Royal
@SeanCaseyMP,Sean Casey,Charlottetown
@brucehyer,Bruce Hyer,Thunder Bay—Superi
@jasbirsandhu,Jasbir Sandhu,Surrey North
@DanAlbas,Dan Albas,Okanagan—Coquihall
@r_garrison,Randall Garrison,Esquimalt—Juan de
@JudyFoote,Judy Foote,Random—Burin—St.
@JamesRajotte,James Rajotte,Edmonton—Leduc
@susantruppe,Susan Truppe,London North Centre
@DavidSweetMP,David Sweet,Ancaster—Dundas—
@Rob_Clarke_MP,Rob Clarke,Desnethé—Missinip
@markstrahl,Mark Strahl,Chilliwack—Fraser
@TedMenzies,Ted Menzies,Macleod
@RandyHobackMP,Randy Hoback,Prince Albert
@SArmstrongCCMV,Scott Armstrong,Cumberland—Colches
@danharrisndp,Dan Harris,Scarborough Southwes
@JohnMcKayLib,John Mckay,Scarborough—Guildw
@Gerry_Byrne,Gerry Byrne,Humber—St. Barbe
@Kevin_Lamoureux,Kevin Lamoureux,Winnipeg North
@CHoeppnerMP,Candice Hoeppner,Portage—Lisgar
@drdanymorin,Dany Morin,Chicoutimi—Le Fjor
@AndrewSaxton1,Andrew Saxton,North Vancouver
@PeterGoldring,Peter Goldring,Edmonton East
@jameslunneymp,James Lunney,Nanaimo—Alberni
@steven_blaney,Steven Blaney,Lévis—Bellechasse
@btrottier,Bernard Trottier,Etobicoke—Lakeshor
@MattDube,Matthew Dubé,Chambly—Borduas
@PierrePoilievre,Pierre Poilievre,Nepean—Carleton
@MikeSullivanMP,Mike Sullivan,York South—Weston
@MarkAdlerMP,Mark Adler,York Centre
@RonCannan,Ron Cannan,Kelowna—Lake Count
@CPCGailShea,Gail Shea,Egmont
@TedOpitz,Ted Opitz,Etobicoke Centre
@GeraldKeddy,Gerald Keddy,South Shore—St. Ma
@BarryDevolin_MP,Barry Devolin,Haliburton—Kawarth
@JohnBCarmichael,John Carmichael,Don Valley West
@JacquesGourde,Jacques Gourde,Lotbinière—Chutes
@LaVarMP,LaVar Payne,Medicine Hat
@MPEveAdams,Eve Adams,Mississauga—Brampt
@mpmikea,Mike Allen,Tobique—Mactaquac
@KellieLeitch,Kellie Leitch,Simcoe—Grey
@blainecalkinsmp,Blaine Calkins,Wetaskiwin
@KeithAshfield11,Keith Ashfield,Fredericton
@WMarstonNDP,Wayne Marston,Hamilton East—Ston
@Lynne_Yelich,Lynne Yelich,Blackstrap
@ZimmerBob,Bob Zimmer,Prince George—Peac
@MPGregKerr,Greg Kerr,West Nova
